Sl.no,date,day_of_week,time,start_time,end_time,availability
1,28-09-2021,Tuesday,night,1:00 AM,4:00 AM,unavailable
2,28-09-2021,Tuesday,morning,4:00 AM,8:00 AM,unavailable
3,28-09-2021,Tuesday,forenoon,8:00 AM,12:00 PM,unavailable
4,28-09-2021,Tuesday,afternoon,12:00 PM,4:00 PM,unavailable
5,28-09-2021,Tuesday,evening,4:00 PM,8:00 PM,available
6,28-09-2021,Tuesday,night,8:00 PM,12:00 AM,unavailable
7,29-09-2021,Wednesday,night,1:00 AM,4:00 AM,unavailable
8,29-09-2021,Wednesday,morning,4:00 AM,8:00 AM,unavailable
9,29-09-2021,Wednesday,forenoon,8:00 AM,12:00 PM,available
10,29-09-2021,Wednesday,afternoon,12:00 PM,4:00 PM,unavailable
11,29-09-2021,Wednesday,evening,4:00 PM,8:00 PM,unavailable
12,29-09-2021,Wednesday,night,8:00 PM,12:00 AM,unavailable
13,30-09-2021,Thursday,night,1:00 AM,4:00 AM,available
14,30-09-2021,Thursday,morning,4:00 AM,8:00 AM,available
15,30-09-2021,Thursday,forenoon,8:00 AM,12:00 PM,available
16,30-09-2021,Thursday,afternoon,12:00 PM,4:00 PM,available
17,30-09-2021,Thursday,evening,4:00 PM,8:00 PM,unavailable
18,30-09-2021,Thursday,night,8:00 PM,12:00 AM,unavailable
19,01-10-2021,Friday,night,1:00 AM,4:00 AM,available
20,01-10-2021,Friday,morning,4:00 AM,8:00 AM,unavailable
21,01-10-2021,Friday,forenoon,8:00 AM,12:00 PM,unavailable
22,01-10-2021,Friday,afternoon,12:00 PM,4:00 PM,available
23,01-10-2021,Friday,evening,4:00 PM,8:00 PM,unavailable
24,01-10-2021,Friday,night,8:00 PM,12:00 AM,unavailable
25,02-10-2021,Saturday,night,1:00 AM,4:00 AM,unavailable
26,02-10-2021,Saturday,morning,4:00 AM,8:00 AM,available
27,02-10-2021,Saturday,forenoon,8:00 AM,12:00 PM,available
28,02-10-2021,Saturday,afternoon,12:00 PM,4:00 PM,available
29,02-10-2021,Saturday,evening,4:00 PM,8:00 PM,unavailable
30,02-10-2021,Saturday,night,8:00 PM,12:00 AM,unavailable
31,03-10-2021,Sunday,night,1:00 AM,4:00 AM,available
32,03-10-2021,Sunday,morning,4:00 AM,8:00 AM,unavailable
33,03-10-2021,Sunday,forenoon,8:00 AM,12:00 PM,unavailable
34,03-10-2021,Sunday,afternoon,12:00 PM,4:00 PM,unavailable
35,03-10-2021,Sunday,evening,4:00 PM,8:00 PM,unavailable
36,03-10-2021,Sunday,night,8:00 PM,12:00 AM,unavailable
37,04-10-2021,Monday,night,1:00 AM,4:00 AM,unavailable
