Sl.no,date,day_of_week,time,start_time,end_time,availability
1,2023-09-21,Thursday,night,01:00 AM,04:00 AM,unavailable
1,2023-09-21,Thursday,morning,04:00 AM,08:00 AM,available
1,2023-09-21,Thursday,forenoon,08:00 AM,12:00 PM,unavailable
1,2023-09-21,Thursday,afternoon,12:00 PM,04:00 PM,available
1,2023-09-21,Thursday,evening,04:00 PM,08:00 PM,available
1,2023-09-21,Thursday,night,08:00 PM,12:00 AM,unavailable
2,2023-09-22,Friday,night,01:00 AM,04:00 AM,available
2,2023-09-22,Friday,morning,04:00 AM,08:00 AM,unavailable
2,2023-09-22,Friday,forenoon,08:00 AM,12:00 PM,unavailable
2,2023-09-22,Friday,afternoon,12:00 PM,04:00 PM,available
2,2023-09-22,Friday,evening,04:00 PM,08:00 PM,unavailable
2,2023-09-22,Friday,night,08:00 PM,12:00 AM,available
3,2023-09-23,Saturday,night,01:00 AM,04:00 AM,available
3,2023-09-23,Saturday,morning,04:00 AM,08:00 AM,unavailable
3,2023-09-23,Saturday,forenoon,08:00 AM,12:00 PM,unavailable
3,2023-09-23,Saturday,afternoon,12:00 PM,04:00 PM,available
3,2023-09-23,Saturday,evening,04:00 PM,08:00 PM,unavailable
3,2023-09-23,Saturday,night,08:00 PM,12:00 AM,unavailable
4,2023-09-24,Sunday,night,01:00 AM,04:00 AM,unavailable
4,2023-09-24,Sunday,morning,04:00 AM,08:00 AM,unavailable
4,2023-09-24,Sunday,forenoon,08:00 AM,12:00 PM,available
4,2023-09-24,Sunday,afternoon,12:00 PM,04:00 PM,unavailable
4,2023-09-24,Sunday,evening,04:00 PM,08:00 PM,unavailable
4,2023-09-24,Sunday,night,08:00 PM,12:00 AM,unavailable
5,2023-09-25,Monday,night,01:00 AM,04:00 AM,unavailable
5,2023-09-25,Monday,morning,04:00 AM,08:00 AM,unavailable
5,2023-09-25,Monday,forenoon,08:00 AM,12:00 PM,unavailable
5,2023-09-25,Monday,afternoon,12:00 PM,04:00 PM,unavailable
5,2023-09-25,Monday,evening,04:00 PM,08:00 PM,unavailable
5,2023-09-25,Monday,night,08:00 PM,12:00 AM,unavailable
6,2023-09-26,Tuesday,night,01:00 AM,04:00 AM,available
6,2023-09-26,Tuesday,morning,04:00 AM,08:00 AM,available
6,2023-09-26,Tuesday,forenoon,08:00 AM,12:00 PM,unavailable
6,2023-09-26,Tuesday,afternoon,12:00 PM,04:00 PM,unavailable
6,2023-09-26,Tuesday,evening,04:00 PM,08:00 PM,available
6,2023-09-26,Tuesday,night,08:00 PM,12:00 AM,available
7,2023-09-27,Wednesday,night,01:00 AM,04:00 AM,unavailable
7,2023-09-27,Wednesday,morning,04:00 AM,08:00 AM,unavailable
7,2023-09-27,Wednesday,forenoon,08:00 AM,12:00 PM,unavailable
7,2023-09-27,Wednesday,afternoon,12:00 PM,04:00 PM,available
7,2023-09-27,Wednesday,evening,04:00 PM,08:00 PM,available
7,2023-09-27,Wednesday,night,08:00 PM,12:00 AM,unavailable
